N,P,K,temperature,humidity,ph,rainfall,label
72.17732614136507,58.541358206574955,35.31102934930161,21.573291801046363,79.84781455060018,6.766240045,223.6151858844652,rice
73.52559933151923,48.11381143875146,31.59107301595834,24.48268246442161,80.13648419762268,6.158376967000001,197.60120311991082,rice
95.811666366617,48.98692326040215,38.517989262662624,28.119499228503777,74.24831489062666,6.94801983,222.40076951492347,rice
70.01563513892629,45.886582540840905,35.776420869408675,23.371710602167862,81.05375060703352,7.300410836,276.4618917644278,rice
65.18623071222949,42.73902477162599,41.4706720560953,22.41407119212692,89.66035232258399,7.592490617,266.91293525123325,rice
81.9446209464733,48.55088618347496,35.89711043432318,20.942675409395065,80.86704768352492,6.442475375,188.1544820657647,rice
61.97963416200264,48.62414642863591,42.972874481117,28.75684660773326,73.66643381513938,6.349606327,212.1196634109674,rice
81.74995175114375,44.176734838065585,38.622210129375716,21.751504100143674,82.47297864707042,5.105588355,261.43049780889623,rice
72.1743744551551,54.73783454859664,33.957885275144676,24.67177031960197,85.34651474736273,7.023936392,279.65666080894374,rice
72.33867411177447,54.612095889923346,38.577149228494825,25.08417604941177,90.0,7.023936392,260.89140712693325,rice
89.68919046908658,53.97802407540248,45.37839422434112,23.208752112362763,74.18296170955378,5.9353444060000005,175.83452578040527,rice
69.98136084704817,35.939428738762864,43.55933955661828,24.617337529989857,82.00297434052226,5.333322606,186.07788917991317,rice
76.31756399425227,37.80197626933164,42.06927486702523,19.930974031463688,81.06585806645505,6.254028451,256.0868496542551,rice
61.7944896130805,50.27564011243745,48.37425667897982,23.28569129319555,86.07124040073566,7.840207144,272.1976550320353,rice
83.06717219950124,39.529068170030975,44.844450604063965,27.2198749697643,85.33971055566472,5.070175667,211.92420012530934,rice
93.52465801997023,53.65473502809062,45.54970922582636,22.036023005583232,76.00027233939409,7.382762603,189.48724169695203,rice
93.07329096839914,53.342153102911375,39.77079969517143,20.695613464439152,87.87091495885966,7.038096361,236.0440283853616,rice
84.93544431590205,53.318672170868915,47.620007703797825,25.857282513657086,78.89023710732195,5.9353444060000005,175.03319518004912,rice
